Tag,Phase,Count,Mean_hours_from_start,Mean_sig,Mean_slop,Mean_runLen
80840,Arrival,95,1.2206414552954974,-50.930163157894725,0.0003999999999999999,246.0
80840,Departure,5,18.400944433357942,-69.65984,0.0003,4.2
80840,Movement/Noise,17,6.271234872574902,-58.61121764705882,0.0004470588235294118,99.05882352941177
80840,Stopover,813,1.524437523161831,-59.05069495694958,0.00030799507995079954,107.50922509225093
80839,Arrival,10,0.08540358888447222,-37.145129999999995,0.0003,57.0
80839,Departure,7,0.423873563475119,-51.13082857142857,0.0003,56.0
80839,Movement/Noise,80,0.260502976720559,-44.93005625,0.00024125,55.35
80839,Stopover,125,0.25751386087632894,-45.73597839999999,0.0001968,55.488
80838,Arrival,19,0.32714427191600876,-39.334047368421054,0.0002,69.26315789473684
80838,Departure,17,2.890874580055163,-64.79384117647058,0.0002,23.0
80838,Movement/Noise,58,1.4514732782467432,-57.517239655172425,0.00046034482758620693,62.55172413793103
80838,Stopover,672,1.1727229612143073,-57.7133994047619,0.0003101190476190477,89.29613095238095
80837,Arrival,187,0.40030336381800646,-59.836065775401075,0.0003,90.21390374331551
80837,Departure,14,1.868461847253155,-66.2715857142857,0.0003,7.785714285714286
80837,Movement/Noise,31,0.7080602939367385,-53.64630967741936,0.00044193548387096783,112.41935483870968
80837,Stopover,288,0.7835483089626436,-53.075653125,0.0002989583333333333,139.03472222222223
80835,Arrival,224,2.3936817703490263,-56.046487053571425,0.00040000000000000013,60.941964285714285
80835,Departure,5,19.273048127796947,-68.85064,0.0001,97.4
80835,Movement/Noise,18,12.989908294769675,-59.3541888888889,0.0007333333333333332,673.3888888888889
80835,Stopover,3351,9.023617277399863,-59.32082482840943,0.0002626081766636825,631.5586392121754
80834,Arrival,630,1.2049303651079295,-43.357816190476186,0.00030000000000000003,269.84761904761905
80834,Departure,7,18.025761519831313,-67.1463,0.00020000000000000004,220.0
80834,Movement/Noise,25,9.865522697766666,-61.87363200000001,0.000492,107.4
80834,Stopover,2420,10.246563182628913,-62.66876095041322,0.0003800413223140496,171.45082644628098
80833,Arrival,329,0.7495522508228006,-51.066565045592704,0.0002310030395136778,167.50759878419453
80833,Departure,18,2.4187668502846456,-69.4502,0.0002888888888888889,6.388888888888889
80833,Movement/Noise,31,1.6577850188021594,-63.0982064516129,0.0005032258064516129,78.96774193548387
80833,Stopover,485,1.2737710694518969,-57.70309257731959,0.00023360824742268038,76.74226804123711
80832,Arrival,607,1.6411288506235764,-50.90630197693575,0.0003,386.05601317957166
80832,Departure,12,17.70671327776394,-72.57768333333334,0.0004,9.666666666666666
80832,Movement/Noise,34,7.446873901957827,-63.21011176470588,0.0004823529411764707,178.91176470588235
80832,Stopover,1349,3.0742928627718573,-55.034553669384735,0.00030429948109710904,295.39584877687173
80830,Arrival,354,0.8360698737991958,-44.15267768361582,0.0003,180.0536723163842
80830,Departure,13,1667.2086636965598,-71.02267692307693,0.0005000000000000002,31.53846153846154
80830,Movement/Noise,38,765.8559491922265,-54.76040526315789,0.000531578947368421,50.31578947368421
80830,Stopover,3013,639.2287557465103,-63.933225987387985,0.0003374377696647859,36.498838367076004
80829,Arrival,334,0.856552546551724,-49.741990718562874,0.0003,187.17964071856287
80829,Departure,7,215.12560399600434,-66.43398571428571,0.0005,23.285714285714285
80829,Movement/Noise,12,94.46118591200967,-59.92615833333334,0.00055,59.25
80829,Stopover,517,27.245833037801596,-53.884303481624755,0.0003342359767891683,149.1566731141199
80828,Arrival,120,0.5008895879613565,-50.074799999999996,0.0003,122.28333333333333
80828,Departure,5,1.0987729944254445,-71.20076,0.0003,5.0
80828,Movement/Noise,47,0.7742137488081148,-59.096195744680855,0.0003042553191489362,66.25531914893617
80828,Stopover,299,0.5589386258765702,-48.42641571906354,0.00035317725752508365,111.79264214046823
80827,Arrival,595,1.2166796041764592,-47.0555094117647,0.00020000000000000004,249.2655462184874
80827,Departure,5,716.8293088666995,-60.65205999999999,0.0002,8.0
80827,Movement/Noise,22,163.7309693409277,-52.4291090909091,0.0003863636363636363,53.95454545454545
80827,Stopover,457,1.2550952994992586,-47.34583479212254,0.0003588621444201313,221.42013129102844
80826,Arrival,1307,1.4586992443991114,-50.87417100229533,0.00018546289211935732,327.6847742922724
80826,Departure,135,3.339208045256918,-68.7885925925926,0.00021777777777777776,27.022222222222222
80826,Movement/Noise,4,1.4461477291418054,-55.962199999999996,0.0015999999999999999,254.0
80824,Arrival,452,0.5555726928848187,-49.59435862831859,0.00023075221238938058,94.1283185840708
80824,Departure,10,10.070471427745334,-73.69179,0.00019,4.2
80824,Movement/Noise,32,10.913886239559732,-65.41414999999999,0.0005125,34.65625
80824,Stopover,120,2.46156168377294,-69.2449825,0.00024166666666666667,16.441666666666666
80823,Arrival,1309,1.9361751274197463,-54.094301833460655,0.00021176470588235298,437.0
80823,Departure,265,18.13628272829001,-71.40657547169812,0.00026490566037735855,269.0
80823,Movement/Noise,24,9.049180018512835,-66.91661666666666,0.0010749999999999998,153.79166666666666
80823,Stopover,2744,9.391196263827144,-66.16443451166181,0.0002423469387755102,109.0018221574344
80822,Arrival,262,26.665440313495818,-67.90959961832061,0.00040000000000000013,217.49618320610688
80822,Departure,9,310.69379199691053,-65.25456666666666,0.0001,21.0
80822,Movement/Noise,44,121.93059747726502,-59.2169931818182,0.0006090909090909092,289.15909090909093
80822,Stopover,7711,29.21687590497288,-64.55192578135131,0.00018332252626118532,394.0474646608741
80821,Arrival,1316,51.94110773866608,-65.07732978723405,0.0002999999999999999,258.08814589665656
